t,k,delta_fdm,delta_dot_fdm
0.01,1e-06,1.0,0.0
0.010186289902446875,1e-06,2.343629139305757,16733.11337398619
0.010376050197669117,1e-06,9.746748143248144,73826.19585144639
0.010569345535579883,1e-06,41.24894214935216,302688.6299755962
0.010766241770454932,1e-06,170.42934265883034,1205775.6236203266
0.010966805983368685,1e-06,686.2813018727995,4679963.376901416
0.011171106505048243,1e-06,2694.348321761475,17709310.275697034
0.01137921293915315,1e-06,10318.154493449783,65366290.6397848
0.011591196185988858,1e-06,38560.57549609625,235448513.43905815
0.011807128466661904,1e-06,140691.15956691233,827973686.8091491
0.012027083347685121,1e-06,501362.97982362896,2843783315.2398615
0.012251135766041189,1e-06,1745728.5196105298,9543665632.24407
0.012479362054713113,1e-06,5942065.782745641,31309429462.450054
0.012711839968690289,1e-06,19777720.30510835,100445497531.57895
0.012948648711459043,1e-06,64397994.48681336,315254782514.80237
0.013189868961986697,1e-06,205244192.6886459,968502816020.9004
0.013435582902208256,1e-06,640627081.21859,2913807235006.9717
0.013685874245025183,1e-06,1958984592.2236595,8587766319578.809
0.013940828262825779,1e-06,5869321555.997855,24797488265978.105
0.014200531816536825,1e-06,17233679497.9944,70176267418821.79
0.014465073385216463,1e-06,49607099458.094284,194720656895458.16
0.01473454309619835,1e-06,140109931609.2453,530142249046306.5
0.015009032755797359,1e-06,388486473528.40936,1416741164227382.8
0.015288635880587303,1e-06,1057146547917.9406,3715446647119219.5
0.015573447729261345,1e-06,2823682879237.1997,9566173351040008.0
0.015863565335085903,1e-06,7409841499346.498,2.4199334276247336e+16
0.016159087538959182,1e-06,19116816521427.254,6.0170981229184856e+16
0.016460115023085503,1e-06,48458673566082.46,1.4700088056326237e+17
0.016766750345277,1e-06,120730921277854.58,3.53070923324652e+17
0.017079097973894276,1e-06,296054229598502.3,8.34500831120655e+17
0.017397264323438015,1e-06,714118064450832.8,1.9399088515252652e+18
0.017721357790803593,1e-06,1694268958696072.0,4.437064381656195e+18
0.01805148879221109,1e-06,3960143173229551.0,9.996139554975338e+18
0.018387769800823277,1e-06,9111993732142686.0,2.216695733725973e+19
0.018730315385064374,1e-06,2.064341568646748e+16,4.841601611815122e+19
0.01907924224765266,1e-06,4.611426513980515e+16,1.0423242054339972e+20
0.0194346692653602,1e-06,1.0144665877282378e+17,2.2103310117177406e+20
0.019796717529513324,1e-06,2.200926608358043e+17,4.6226168490172095e+20
0.020165510387247464,1e-06,4.7086190496750976e+17,9.530819621140895e+20
0.020541173483530642,1e-06,9.930552171818237e+17,1.9379312216123832e+21
0.020923834803969768,1e-06,2.0677286450292475e+18,3.88866128233258e+21
0.021313624718414376,1e-06,4.24507107351304e+18,7.696735086885551e+21
0.021710676025372647,1e-06,8.609165780778529e+18,1.504400066483828e+22
0.02211512399725489,1e-06,1.7224915544249715e+19,2.901570352804812e+22
