t,k,delta_cdm,delta_dot_cdm
0.01,0.001,1.0,66.66666666666667
0.010186289902446875,0.001,2.3610016487527825,16884.798277520633
0.010376050197669117,0.001,9.826247872907876,74434.98172204927
0.010569345535579883,0.001,41.587021529576404,305171.8944318879
0.010766241770454932,0.001,171.82545404408512,1215657.7224711261
0.010966805983368685,0.001,691.9007907744351,4718301.833957015
0.011171106505048243,0.001,2716.40710232818,17854363.076393962
0.01137921293915315,0.001,10402.632336759585,65901711.83579144
0.011591196185988858,0.001,38876.34674011165,237377521.14491025
0.011807128466661904,0.001,141843.7525781022,834760066.2351928
0.012027083347685121,0.001,505472.8770390271,2867105597.6167855
0.012251135766041189,0.001,1760046.5929029614,9621966152.328571
0.012479362054713113,0.001,5990795.007396198,31566207913.974014
0.012711839968690289,0.001,19940124.9171138,101270015838.7582
0.012948648711459043,0.001,64926782.255315594,317842027478.7082
0.013189868961986697,0.001,206927451.62502378,976442503176.8518
0.013435582902208256,0.001,645872864.9012332,2937666936344.2803
0.013685874245025183,0.001,1975019009.8331327,8658088728770.803
0.013940828262825779,0.001,5917433182.794171,25000855698569.29
0.014200531816536825,0.001,17375097695.77957,70752052096269.88
0.014465073385216463,0.001,50014358206.58897,196318338169368.94
0.01473454309619835,0.001,141257718261.01636,534484629486343.0
0.015009032755797359,0.001,391666839074.22815,1428345360010034.5
0.015288635880587303,0.001,1065815364011.1061,3745922771175652.5
0.015573447729261345,0.001,2846868547736.2705,9644676390528188.0
0.015863565335085903,0.001,7470540900452.197,2.439754880089262e+16
0.016159087538959182,0.001,19273384266195.953,6.06640762188907e+16
0.016460115023085503,0.001,48856381784882.79,1.48207058803995e+17
0.016766750345277,0.001,121721021768131.52,3.559651434258038e+17
0.017079097973894276,0.001,298477938281418.0,8.413362532244448e+17
0.017397264323438015,0.001,719975878374901.2,1.9558210354651515e+18
0.017721357790803593,0.001,1708164281626618.0,4.473437535217208e+18
0.01805148879221109,0.001,3992568428782294.0,1.0078035163465855e+19
0.018387769800823277,0.001,9186788857696032.0,2.2348848654488703e+19
0.018730315385064374,0.001,2.081257259570408e+16,4.881267779028632e+19
0.01907924224765266,0.001,4.649217220306083e+16,1.0508711089225163e+20
0.0194346692653602,0.001,1.0227942625384686e+17,2.2284634306452056e+20
0.019796717529513324,0.001,2.218945732276109e+17,4.660480479213208e+20
0.020165510387247464,0.001,4.747262068771859e+17,9.609014315232526e+20
0.020541173483530642,0.001,1.0011909195091796e+18,1.9538070160839056e+21
0.020923834803969768,0.001,2.084680189979956e+18,3.9205538003061965e+21
0.021313624718414376,0.001,4.279884306193338e+18,7.759825627747036e+21
0.021710676025372647,0.001,8.679704808545947e+18,1.5167343618198746e+22
0.02211512399725489,0.001,1.736626326747052e+19,2.925365183546699e+22
0.022527106426459807,0.001,3.433199072626678e+19,5.574424999725919e+22
0.022946763672319362,0.001,6.700770884607407e+19,1.0487313192451661e+23
0.02337423870891815,0.001,1.2925553490194827e+20,1.9500298782947804e+23
0.023809677173803584,0.001,2.4630019664805816e+20,3.58167164525642e+23
0.024253227417603527,0.001,4.640227806585517e+20,6.504549315246552e+23
0.024705040554568253,0.001,8.639495879423956e+20,1.1673665489980028e+24
0.025165270514053917,0.001,1.591170866907709e+21,2.0724080044026643e+24
0.02563407409296515,0.001,2.89692632120217e+21,3.6372204126993774e+24
0.026111611009174595,0.001,5.220301711692959e+21,6.317278169101877e+24
0.026598043955937584,0.001,9.301150026209032e+21,1.0851562987199894e+25
0.027093538657320514,0.001,1.6411830203884564e+22,1.84531867364335e+25
0.027598263924661803,0.001,2.8641399026871207e+22,3.105053888793875e+25
0.02811239171408464,0.001,4.951566693962444e+22,5.173333785906142e+25
0.028636097185081158,0.001,8.471983368756212e+22,8.534038776304195e+25
0.02916955876018796,0.001,1.4357431928981478e+23,1.39401989195051e+26
0.02971295818577334,0.001,2.4105527109342324e+23,2.2560639050870623e+26
0.030266480593956924,0.001,4.007483664179511e+23,3.616084911100573e+26
0.030830314565682772,0.001,6.605827468939215e+23,5.744499086851328e+26
0.03140465219496752,0.001,1.0784518807166973e+24,9.042534615590569e+26
0.03198968915434538,0.001,1.7455724465814775e+24,1.4107713486101006e+27
0.03258562476153226,0.001,2.801474118102386e+24,2.1824167399267096e+27
0.03319266204733189,0.001,4.4555131945005194e+24,3.3466620390648256e+27
0.03381100782480685,0.001,7.030932224958688e+24,5.089871529765025e+27
0.034440872759738235,0.001,1.100120691135761e+25,7.677962046017326e+27
0.03508247144239792,0.001,1.7071371858306818e+25,1.1486851876518625e+28
