t,k,delta_fdm,delta_dot_fdm
0.01,0.001,1.0,66.66666666666667
0.010186289902446875,0.001,2.3610016487527687,16884.798277520626
0.010376050197669117,0.001,9.826247872907835,74434.98172204879
0.010569345535579883,0.001,41.58702152957632,305171.89443188603
0.010766241770454932,0.001,171.8254540440861,1215657.722471127
0.010966805983368685,0.001,691.9007907744412,4718301.833957031
0.011171106505048243,0.001,2716.4071023282077,17854363.07639405
0.01137921293915315,0.001,10402.632336759676,65901711.8357917
0.011591196185988858,0.001,38876.346740111876,237377521.14491028
0.011807128466661904,0.001,141843.75257810234,834760066.2351892
0.012027083347685121,0.001,505472.87703902397,2867105597.6167536
0.012251135766041189,0.001,1760046.5929029393,9621966152.328407
0.012479362054713113,0.001,5990795.007396136,31566207913.97357
0.012711839968690289,0.001,19940124.91711326,101270015838.75586
0.012948648711459043,0.001,64926782.255313866,317842027478.7015
0.013189868961986697,0.001,206927451.62502074,976442503176.8413
0.013435582902208256,0.001,645872864.9012332,2937666936344.278
0.013685874245025183,0.001,1975019009.8331418,8658088728770.8
0.013940828262825779,0.001,5917433182.794106,25000855698568.863
0.014200531816536825,0.001,17375097695.77919,70752052096268.39
0.014465073385216463,0.001,50014358206.58753,196318338169364.25
0.01473454309619835,0.001,141257718261.01532,534484629486339.4
0.015009032755797359,0.001,391666839074.2278,1428345360010025.5
0.015288635880587303,0.001,1065815364011.0862,3745922771175567.0
0.015573447729261345,0.001,2846868547736.1777,9644676390527922.0
0.015863565335085903,0.001,7470540900452.121,2.439754880089239e+16
0.016159087538959182,0.001,19273384266195.797,6.0664076218889784e+16
0.016460115023085503,0.001,48856381784881.36,1.4820705880399094e+17
0.016766750345277,0.001,121721021768128.73,3.559651434257971e+17
0.017079097973894276,0.001,298477938281416.25,8.41336253224435e+17
0.017397264323438015,0.001,719975878374882.6,1.9558210354650972e+18
0.017721357790803593,0.001,1708164281626573.8,4.473437535217109e+18
0.01805148879221109,0.001,3992568428782258.5,1.0078035163465693e+19
0.018387769800823277,0.001,9186788857695714.0,2.2348848654487953e+19
0.018730315385064374,0.001,2.0812572595703696e+16,4.881267779028547e+19
0.01907924224765266,0.001,4.649217220305992e+16,1.0508711089224884e+20
0.0194346692653602,0.001,1.0227942625384296e+17,2.228463430645133e+20
0.019796717529513324,0.001,2.2189457322760832e+17,4.660480479213128e+20
0.020165510387247464,0.001,4.7472620687716915e+17,9.609014315232196e+20
0.020541173483530642,0.001,1.0011909195091594e+18,1.9538070160838655e+21
0.020923834803969768,0.001,2.0846801899798991e+18,3.920553800306071e+21
0.021313624718414376,0.001,4.279884306193203e+18,7.75982562774682e+21
0.021710676025372647,0.001,8.679704808545751e+18,1.5167343618198287e+22
0.02211512399725489,0.001,1.7366263267469826e+19,2.9253651835465994e+22
0.022527106426459807,0.001,3.4331990726266106e+19,5.574424999725763e+22
0.022946763672319362,0.001,6.70077088460712e+19,1.0487313192451272e+23
0.02337423870891815,0.001,1.2925553490194568e+20,1.9500298782947247e+23
0.023809677173803584,0.001,2.4630019664804715e+20,3.581671645256283e+23
0.024253227417603527,0.001,4.640227806585415e+20,6.504549315246356e+23
0.024705040554568253,0.001,8.639495879423563e+20,1.1673665489979573e+24
0.025165270514053917,0.001,1.5911708669076685e+21,2.0724080044025945e+24
0.02563407409296515,0.001,2.896926321202045e+21,3.6372204126992395e+24
0.026111611009174595,0.001,5.2203017116928e+21,6.317278169101634e+24
0.026598043955937584,0.001,9.301150026208665e+21,1.08515629871995e+25
0.027093538657320514,0.001,1.6411830203883972e+22,1.8453186736432741e+25
0.027598263924661803,0.001,2.8641399026870267e+22,3.1050538887937674e+25
0.02811239171408464,0.001,4.951566693962197e+22,5.1733337859059005e+25
0.028636097185081158,0.001,8.471983368755965e+22,8.534038776303887e+25
0.02916955876018796,0.001,1.4357431928980723e+23,1.3940198919504461e+26
0.02971295818577334,0.001,2.410552710934149e+23,2.256063905086964e+26
0.030266480593956924,0.001,4.007483664179335e+23,3.616084911100422e+26
0.030830314565682772,0.001,6.605827468938893e+23,5.7444990868510466e+26
0.03140465219496752,0.001,1.0784518807166603e+24,9.042534615590193e+26
0.03198968915434538,0.001,1.745572446581381e+24,1.41077134861003e+27
0.03258562476153226,0.001,2.8014741181022735e+24,2.1824167399266024e+27
0.03319266204733189,0.001,4.455513194500325e+24,3.3466620390646744e+27
0.03381100782480685,0.001,7.030932224958282e+24,5.089871529764751e+27
0.034440872759738235,0.001,1.1001206911357179e+25,7.677962046016947e+27
0.03508247144239792,0.001,1.707137185830593e+25,1.148685187651805e+28
0.03573602246065788,0.001,2.629572543691502e+25,1.7052760824013236e+28
0.03640174847446141,0.001,4.017240023505956e+25,2.5118167891090913e+28
0.037079876291681704,0.001,6.090352912549404e+25,3.6712387053869517e+28
0.03777063694539366,0.001,9.168472422048896e+25,5.326640050428141e+28
0.03847426577258504,0.001,1.3694835202177225e+26,7.671361640918089e+28
0.03919100249433404,0.001,2.0308370543484758e+26,1.0967580464345667e+29
0.03992109129748051,0.001,2.991545104175112e+26,1.5571349533399822e+29
0.04066478091781856,0.001,4.3745606437686475e+26,2.1953707947787792e+29
0.041422324724838956,0.001,6.352584947331116e+26,3.0738064743313083e+29
0.04219398080805026,0.001,9.166985881422769e+26,4.2753075241838015e+29
0.04298001206490796,0.001,1.3139466072883992e+27,5.90762109246209e+29
0.04378068629038168,0.001,1.8705978652172385e+27,8.109734605584621e+29
0.04459627626819094,0.001,2.647036584880156e+27,1.106244599326527e+30
0.04542705986374045,0.001,3.723040818374284e+27,1.4997627285976246e+30
0.04627332011878691,0.001,5.20233431198515e+27,2.0207500725941e+30
0.04713534534786907,0.001,7.226264577717114e+27,2.706294728171808e+30
0.048013429236534504,0.001,9.981625831661917e+27,3.6032978093842475e+30
0.0489078709413959,0.001,1.3706561754281099e+28,4.7700515665110385e+30
0.0498189751920516,0.001,1.870891600583592e+28,6.278444306543235e+30
